公司代码 ,公司简称 ,代码,简称,上市日期,Symbol
600435,  北方导航,600435,  北方导航,  2003-07-04,600435.SS
600436,  片仔癀,600436,  片仔癀,  2003-06-16,600436.SS
600438,  通威股份,600438,  通威股份,  2004-03-02,600438.SS
600439,  瑞贝卡,600439,  瑞贝卡,  2003-07-10,600439.SS
600444,  国机通用,600444,  国机通用,  2004-02-19,600444.SS
600446,  金证股份,600446,  金证股份,  2003-12-24,600446.SS
600448,  华纺股份,600448,  华纺股份,  2001-09-03,600448.SS
600449,  宁夏建材,600449,  宁夏建材,  2003-08-29,600449.SS
600452,  涪陵电力,600452,  涪陵电力,  2004-03-03,600452.SS
600455,  博通股份,600455,  博通股份,  2004-03-29,600455.SS
600456,  宝钛股份,600456,  宝钛股份,  2002-04-12,600456.SS
600458,  时代新材,600458,  时代新材,  2002-12-19,600458.SS
600459,  贵研铂业,600459,  贵研铂业,  2003-05-16,600459.SS
600460,  士兰微,600460,  士兰微,  2003-03-11,600460.SS
600461,  洪城水业,600461,  洪城水业,  2004-06-01,600461.SS
600462,  *ST九有,600462,  *ST九有,  2003-09-03,600462.SS
600463,  空港股份,600463,  空港股份,  2004-03-18,600463.SS
600466,  蓝光发展,600466,  蓝光发展,  2001-02-12,600466.SS
600467,  好当家,600467,  好当家,  2004-04-05,600467.SS
600468,  百利电气,600468,  百利电气,  2001-06-15,600468.SS
600469,  风神股份,600469,  风神股份,  2003-10-21,600469.SS
600470,  *ST六化,600470,  *ST六化,  2004-03-05,600470.SS
600475,  华光环能,600475,  华光环能,  2003-07-21,600475.SS
600476,  湘邮科技,600476,  湘邮科技,  2003-12-10,600476.SS
600477,  杭萧钢构,600477,  杭萧钢构,  2003-11-10,600477.SS
600478,  科力远,600478,  科力远,  2003-09-18,600478.SS
600479,  千金药业,600479,  千金药业,  2004-03-12,600479.SS
600480,  凌云股份,600480,  凌云股份,  2003-08-15,600480.SS
600481,  双良节能,600481,  双良节能,  2003-04-22,600481.SS
600482,  中国动力,600482,  中国动力,  2004-07-14,600482.SS
600483,  福能股份,600483,  福能股份,  2004-05-31,600483.SS
600486,  扬农化工,600486,  扬农化工,  2002-04-25,600486.SS
600487,  亨通光电,600487,  亨通光电,  2003-08-22,600487.SS
600488,  天药股份,600488,  天药股份,  2001-06-18,600488.SS
600489,  中金黄金,600489,  中金黄金,  2003-08-14,600489.SS
600490,  鹏欣资源,600490,  鹏欣资源,  2003-06-26,600490.SS
600491,  龙元建设,600491,  龙元建设,  2004-05-24,600491.SS
600493,  凤竹纺织,600493,  凤竹纺织,  2004-04-21,600493.SS
600495,  晋西车轴,600495,  晋西车轴,  2004-05-26,600495.SS
600496,  精工钢构,600496,  精工钢构,  2002-06-05,600496.SS
600497,  驰宏锌锗,600497,  驰宏锌锗,  2004-04-20,600497.SS
